🇨🇳 4K & 8K频道,#genre#
CCTV3,http://171.119.207.218:6001/rtp/226.0.1.141:2018
CCTV3,http://61.134.200.65:8083/rtp/226.0.1.141:2018
CCTV3,http://221.205.60.71:8083/rtp/226.0.1.141:2018
CCTV3,http://183.184.60.128:8084/rtp/226.0.1.141:2018
CCTV3,http://60.220.167.28:8084/rtp/226.0.1.141:2018
CCTV3,http://183.185.220.60:8082/rtp/226.0.1.141:2018
CCTV3,http://221.205.60.71:8082/rtp/226.0.1.141:2018
CCTV3,http://60.223.72.30:8002/rtp/226.0.1.141:2018
CCTV3,http://171.117.73.99:8083/rtp/226.0.1.141:2018
CCTV4,http://27.184.19.130:4022/rtp/239.254.200.190:6307
CCTV4,http://27.184.66.210:1024/rtp/239.254.200.190:6307
CCTV4,http://111.227.200.55:4000/rtp/239.254.200.190:6307
CCTV4,http://27.184.19.130:4022/rtp/239.254.201.205:4220
CCTV4,http://27.184.66.210:1024/rtp/239.254.201.205:4220
CCTV4,http://111.227.200.55:4000/rtp/239.254.201.205:4220
CCTV4,http://118.79.139.119:6002/rtp/226.0.1.21:3036
CCTV4,http://183.188.229.144:6000/rtp/226.0.1.21:3036
CCTV4,http://171.119.207.218:6001/rtp/226.0.1.21:3036
CCTV4,http://61.134.200.65:8083/rtp/226.0.1.21:3036
CCTV4,http://221.205.60.71:8083/rtp/226.0.1.21:3036
CCTV4,http://183.184.60.128:8084/rtp/226.0.1.21:3036
CCTV4,http://60.220.167.28:8084/rtp/226.0.1.21:3036
CCTV4,http://183.185.220.60:8082/rtp/226.0.1.21:3036
CCTV4,http://221.205.60.71:8082/rtp/226.0.1.21:3036
CCTV15,http://27.184.19.130:4022/rtp/239.254.201.124:8136
CCTV15,http://27.184.66.210:1024/rtp/239.254.201.124:8136
CCTV15,http://111.227.200.55:4000/rtp/239.254.201.124:8136
CCTV15,http://223.112.219.174:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://118.79.139.119:6002/rtp/226.0.1.32:3028
CCTV15,http://183.188.229.144:6000/rtp/226.0.1.32:3028
CCTV15,http://171.119.207.218:6001/rtp/226.0.1.32:3028
CCTV15,http://61.134.200.65:8083/rtp/226.0.1.32:3028
CCTV15,http://221.205.60.71:8083/rtp/226.0.1.32:3028
CCTV15,http://183.184.60.128:8084/rtp/226.0.1.32:3028
CCTV15,http://60.220.167.28:8084/rtp/226.0.1.32:3028
CCTV15,http://183.185.220.60:8082/rtp/226.0.1.32:3028
CCTV15,http://221.205.60.71:8082/rtp/226.0.1.32:3028
CCTV15,http://60.223.72.30:8002/rtp/226.0.1.32:3028
CCTV15,http://171.117.73.99:8083/rtp/226.0.1.32:3028
CCTV5,http://27.184.19.130:4022/rtp/239.254.201.153:7206
CCTV5,http://27.184.66.210:1024/rtp/239.254.201.153:7206
CCTV5,http://111.227.200.55:4000/rtp/239.254.201.153:7206
CCTV5,http://118.79.139.119:6002/rtp/226.0.1.135:2020
CCTV5,http://183.188.229.144:6000/rtp/226.0.1.135:2020
CCTV5,http://171.119.207.218:6001/rtp/226.0.1.135:2020
CCTV5,http://61.134.200.65:8083/rtp/226.0.1.135:2020
CCTV5,http://221.205.60.71:8083/rtp/226.0.1.135:2020
CCTV5,http://183.184.60.128:8084/rtp/226.0.1.135:2020
CCTV5,http://60.220.167.28:8084/rtp/226.0.1.135:2020
CCTV5,http://183.185.220.60:8082/rtp/226.0.1.135:2020
CCTV5,http://221.205.60.71:8082/rtp/226.0.1.135:2020
CCTV5,http://60.223.72.30:8002/rtp/226.0.1.135:2020
CCTV5,http://171.117.73.99:8083/rtp/226.0.1.135:2020
CCTV5,http://60.223.72.30:8004/rtp/226.0.1.135:2020
CCTV5+,http://27.184.19.130:4022/rtp/239.254.200.46:8004
CCTV5+,http://27.184.66.210:1024/rtp/239.254.200.46:8004
CCTV5+,http://111.227.200.55:4000/rtp/239.254.200.46:8004
CCTV5+,http://118.79.139.119:6002/rtp/226.0.1.172:3096
CCTV5+,http://183.188.229.144:6000/rtp/226.0.1.172:3096
CCTV5+,http://171.119.207.218:6001/rtp/226.0.1.172:3096
CCTV5+,http://61.134.200.65:8083/rtp/226.0.1.172:3096
CCTV5+,http://221.205.60.71:8083/rtp/226.0.1.172:3096
CCTV5+,http://183.184.60.128:8084/rtp/226.0.1.172:3096
CCTV5+,http://60.220.167.28:8084/rtp/226.0.1.172:3096
CCTV5+,http://183.185.220.60:8082/rtp/226.0.1.172:3096
CCTV5+,http://221.205.60.71:8082/rtp/226.0.1.172:3096
CCTV5+,http://60.223.72.30:8002/rtp/226.0.1.172:3096
CCTV5+,http://171.117.73.99:8083/rtp/226.0.1.172:3096
CCTV5+,http://60.223.72.30:8004/rtp/226.0.1.172:3096
CCTV6,http://27.184.19.130:4022/rtp/239.254.201.154:7207
CCTV6,http://27.184.66.210:1024/rtp/239.254.201.154:7207
CCTV6,http://111.227.200.55:4000/rtp/239.254.201.154:7207
CCTV6,http://223.112.219.174:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://118.79.139.119:6002/rtp/226.0.1.137:2021
CCTV6,http://183.188.229.144:6000/rtp/226.0.1.137:2021
CCTV6,http://171.119.207.218:6001/rtp/226.0.1.137:2021
CCTV6,http://61.134.200.65:8083/rtp/226.0.1.137:2021
CCTV6,http://221.205.60.71:8083/rtp/226.0.1.137:2021
CCTV6,http://183.184.60.128:8084/rtp/226.0.1.137:2021
CCTV6,http://60.220.167.28:8084/rtp/226.0.1.137:2021
CCTV6,http://183.185.220.60:8082/rtp/226.0.1.137:2021
CCTV6,http://221.205.60.71:8082/rtp/226.0.1.137:2021
CCTV6,http://60.223.72.30:8002/rtp/226.0.1.137:2021
CCTV6,http://171.117.73.99:8083/rtp/226.0.1.137:2021
CCTV7,http://27.184.19.130:4022/rtp/239.254.200.159:6000
CCTV7,http://27.184.66.210:1024/rtp/239.254.200.159:6000
CCTV7,http://111.227.200.55:4000/rtp/239.254.200.159:6000
CCTV7,http://223.112.219.174:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://118.79.139.119:6002/rtp/226.0.1.163:3097
CCTV7,http://183.188.229.144:6000/rtp/226.0.1.163:3097
CCTV7,http://171.119.207.218:6001/rtp/226.0.1.163:3097
CCTV7,http://61.134.200.65:8083/rtp/226.0.1.163:3097
CCTV7,http://221.205.60.71:8083/rtp/226.0.1.163:3097
CCTV7,http://183.184.60.128:8084/rtp/226.0.1.163:3097
CCTV7,http://60.220.167.28:8084/rtp/226.0.1.163:3097
CCTV7,http://183.185.220.60:8082/rtp/226.0.1.163:3097
CCTV7,http://221.205.60.71:8082/rtp/226.0.1.163:3097
CCTV7,http://60.223.72.30:8002/rtp/226.0.1.163:3097
CCTV7,http://171.117.73.99:8083/rtp/226.0.1.163:3097
CCTV8,http://27.184.19.130:4022/rtp/239.254.201.155:7208
CCTV8,http://27.184.66.210:1024/rtp/239.254.201.155:7208
CCTV8,http://111.227.200.55:4000/rtp/239.254.201.155:7208
CCTV8,http://223.112.219.174:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://118.79.139.119:6002/rtp/226.0.1.140:2023
CCTV8,http://183.188.229.144:6000/rtp/226.0.1.140:2023
CCTV8,http://171.119.207.218:6001/rtp/226.0.1.140:2023
CCTV8,http://61.134.200.65:8083/rtp/226.0.1.140:2023
CCTV8,http://221.205.60.71:8083/rtp/226.0.1.140:2023
CCTV8,http://183.184.60.128:8084/rtp/226.0.1.140:2023
CCTV8,http://60.220.167.28:8084/rtp/226.0.1.140:2023
CCTV8,http://183.185.220.60:8082/rtp/226.0.1.140:2023
CCTV8,http://221.205.60.71:8082/rtp/226.0.1.140:2023
CCTV8,http://60.223.72.30:8002/rtp/226.0.1.140:2023
CCTV8,http://171.117.73.99:8083/rtp/226.0.1.140:2023
CCTV9,http://27.184.19.130:4022/rtp/239.254.200.59:8112
CCTV9,http://27.184.66.210:1024/rtp/239.254.200.59:8112
CCTV9,http://111.227.200.55:4000/rtp/239.254.200.59:8112
CCTV9,http://223.112.219.174:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://118.79.139.119:6002/rtp/226.0.1.165:3093
CCTV9,http://183.188.229.144:6000/rtp/226.0.1.165:3093
CCTV9,http://171.119.207.218:6001/rtp/226.0.1.165:3093
CCTV9,http://61.134.200.65:8083/rtp/226.0.1.165:3093
CCTV9,http://221.205.60.71:8083/rtp/226.0.1.165:3093
CCTV9,http://183.184.60.128:8084/rtp/226.0.1.165:3093
CCTV9,http://60.220.167.28:8084/rtp/226.0.1.165:3093
CCTV9,http://183.185.220.60:8082/rtp/226.0.1.165:3093
CCTV9,http://221.205.60.71:8082/rtp/226.0.1.165:3093
CCTV9,http://60.223.72.30:8002/rtp/226.0.1.165:3093
CCTV9,http://171.117.73.99:8083/rtp/226.0.1.165:3093
CCTV10,http://27.184.19.130:4022/rtp/239.254.200.160:6000
CCTV10,http://27.184.66.210:1024/rtp/239.254.200.160:6000
CCTV10,http://111.227.200.55:4000/rtp/239.254.200.160:6000
CCTV10,http://223.112.219.174:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://118.79.139.119:6002/rtp/226.0.1.166:3099
CCTV10,http://183.188.229.144:6000/rtp/226.0.1.166:3099
CCTV10,http://171.119.207.218:6001/rtp/226.0.1.166:3099
CCTV10,http://61.134.200.65:8083/rtp/226.0.1.166:3099
CCTV10,http://221.205.60.71:8083/rtp/226.0.1.166:3099
CCTV10,http://183.184.60.128:8084/rtp/226.0.1.166:3099
CCTV10,http://60.220.167.28:8084/rtp/226.0.1.166:3099
CCTV10,http://183.185.220.60:8082/rtp/226.0.1.166:3099
CCTV10,http://221.205.60.71:8082/rtp/226.0.1.166:3099
CCTV10,http://60.223.72.30:8002/rtp/226.0.1.166:3099
CCTV10,http://171.117.73.99:8083/rtp/226.0.1.166:3099
CCTV12,http://27.184.19.130:4022/rtp/239.254.200.161:6000
CCTV12,http://27.184.66.210:1024/rtp/239.254.200.161:6000
CCTV12,http://111.227.200.55:4000/rtp/239.254.200.161:6000
CCTV12,http://223.112.219.174:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://118.79.139.119:6002/rtp/226.0.1.168:3100
CCTV12,http://183.188.229.144:6000/rtp/226.0.1.168:3100
CCTV12,http://171.119.207.218:6001/rtp/226.0.1.168:3100
CCTV12,http://61.134.200.65:8083/rtp/226.0.1.168:3100
CCTV12,http://221.205.60.71:8083/rtp/226.0.1.168:3100
CCTV12,http://183.184.60.128:8084/rtp/226.0.1.168:3100
CCTV12,http://60.220.167.28:8084/rtp/226.0.1.168:3100
CCTV12,http://183.185.220.60:8082/rtp/226.0.1.168:3100
CCTV12,http://221.205.60.71:8082/rtp/226.0.1.168:3100
CCTV12,http://60.223.72.30:8002/rtp/226.0.1.168:3100
CCTV12,http://171.117.73.99:8083/rtp/226.0.1.168:3100
CCTV14,http://27.184.19.130:4022/rtp/239.254.200.162:6000
CCTV14,http://27.184.66.210:1024/rtp/239.254.200.162:6000
CCTV14,http://111.227.200.55:4000/rtp/239.254.200.162:6000
CCTV14,http://223.112.219.174:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
