电信,#genre#
天下收藏,rtp://238.125.4.75:5140
百姓健康,rtp://238.125.4.76:5140
四海钓鱼,rtp://238.125.4.77:5140
证券服务,rtp://238.125.4.79:5140
车迷频道,rtp://238.125.4.80:5140
中国天气,rtp://238.125.4.81:5140
嘉佳卡通,rtp://238.125.4.82:5140
CCTV11高清,rtp://238.125.4.83:5140
CCTV15高清,rtp://238.125.4.84:5140
CETV-4 HD,rtp://238.125.4.98:5140
湖北高清,rtp://238.125.5.10:5140
山东高清,rtp://238.125.5.11:5140
广东高清,rtp://238.125.5.12:5140
天津高清,rtp://238.125.5.13:5140
重庆高清,rtp://238.125.5.14:5140
辽宁高清,rtp://238.125.5.15:5140
CCTV02高清,rtp://238.125.5.20:5140
CCTV03高清,rtp://238.125.5.21:5140
CCTV05高清,rtp://238.125.5.22:5140
CCTV06高清,rtp://238.125.5.23:5140
CCTV07高清,rtp://238.125.5.24:5140
CCTV08高清,rtp://238.125.5.25:5140
CCTV09高清,rtp://238.125.5.26:5140
CCTV10高清,rtp://238.125.5.27:5140
CCTV12高清,rtp://238.125.5.28:5140
CCTV05+高清,rtp://238.125.5.29:5140
全纪实HD,rtp://238.125.5.30:5140
CCTV13高清,rtp://238.125.5.31:5140
云南高清,rtp://238.125.5.32:5140
动漫秀场HD,rtp://238.125.5.33:5140
CCTV16高清,rtp://238.125.5.34:5140
游戏风云HD,rtp://238.125.5.36:5140
百视通,rtp://238.125.5.47:5140
东南高清,rtp://238.125.5.49:5140
8M-HD-上海纪实,rtp://238.125.5.50:5140
中国教育一台 HD,rtp://238.125.5.51:5140
8M-HD-第一财经,rtp://238.125.5.59:5140
都市剧场HD,rtp://238.125.5.60:5140
欢笑剧场HD,rtp://238.125.5.61:5140
四川高清,rtp://238.125.5.62:5140
河北高清,rtp://238.125.5.64:5140
贵州高清,rtp://238.125.5.65:5140
CCTV14高清,rtp://238.125.5.66:5140
CCTV04高清,rtp://238.125.5.67:5140
海南高清,rtp://238.125.5.68:5140
CGTN HD,rtp://238.125.5.69:5140
北京冬奥纪实高清,rtp://238.125.5.70:5140
湖南金鹰纪实高清,rtp://238.125.5.71:5140
上海纪实人文高清,rtp://238.125.5.72:5140
CCTV17高清,rtp://238.125.5.74:5140
好享购物,rtp://238.125.5.75:5140
百视通4K测试,rtp://238.125.5.76:5140
九屏测试-1,rtp://238.125.5.82:5140
九屏测试-2,rtp://238.125.5.83:5140
九屏测试-3,rtp://238.125.5.84:5140
九屏测试-4,rtp://238.125.5.85:5140
未接收到信号源,rtp://238.125.5.89:5140
天翼4K,rtp://238.125.5.92:5140
百视通,rtp://238.125.5.93:5140
天翼4K,rtp://238.125.5.94:5140
CCTV01高清,rtp://238.125.5.96:5140
九屏测试-5,rtp://238.125.5.97:5140
九屏测试-6,rtp://238.125.5.98:5140
九屏测试-7,rtp://238.125.5.99:5140
博州TV-1 HD,rtp://238.125.7.12:5140
博州TV-2 HD,rtp://238.125.7.13:5140
博州TV-3 HD,rtp://238.125.7.14:5140
阿拉山口,rtp://238.125.7.16:5140
吐鲁番综合,rtp://238.125.7.17:5140
吐鲁番-2（维语）,rtp://238.125.7.18:5140
吐鲁番-3？,rtp://238.125.7.19:5140
吐鲁番-2,rtp://238.125.7.20:5140
高昌维语,rtp://238.125.7.21:5140
高昌电视台,rtp://238.125.7.22:5140
鄯善,rtp://238.125.7.23:5140
鄯善维语,rtp://238.125.7.24:5140
托克逊,rtp://238.125.7.25:5140
托克逊维语,rtp://238.125.7.26:5140
昌吉市 HD,rtp://238.125.7.27:5140
吉木萨尔,rtp://238.125.7.28:5140
塔城地区1,rtp://238.125.7.29:5140
塔城地区2,rtp://238.125.7.30:5140
塔城地区3,rtp://238.125.7.31:5140
和田维语,rtp://238.125.7.34:5140
和田汉语,rtp://238.125.7.35:5140
策勒2维语,rtp://238.125.7.36:5140
策勒1汉语,rtp://238.125.7.37:5140
巴州01 HD,rtp://238.125.7.38:5140
巴州02 HD,rtp://238.125.7.39:5140
巴州03 HD,rtp://238.125.7.40:5140
巴州04 HD,rtp://238.125.7.43:5140
阿克陶-1,rtp://238.125.7.45:5140
吉木乃汉语,rtp://238.125.7.46:5140
吉木乃哈语,rtp://238.125.7.48:5140
巴楚1,rtp://238.125.7.49:5140
阿勒泰1 720,rtp://238.125.7.54:5140
百视通,rtp://238.125.7.59:5140
百视通,rtp://238.125.7.60:5140
百视通,rtp://238.125.7.61:5140
百视通,rtp://238.125.7.62:5140
百视通,rtp://238.125.7.63:5140
百视通,rtp://238.125.7.64:5140
百视通,rtp://238.125.7.65:5140
百视通,rtp://238.125.7.66:5140
百视通,rtp://238.125.7.67:5140
百视通,rtp://238.125.7.68:5140
百视通,rtp://238.125.7.69:5140
尉犁1,rtp://238.125.7.70:5140
CCTV03,rtp://238.125.7.77:5140
CCTV05,rtp://238.125.7.78:5140
CCTV06,rtp://238.125.7.79:5140
